run_dir,model,dataset,config,Q,H,use_acceleration,test_mae,test_rmse,test_mape,num_params,epochs_trained,train_time_minutes,train_time_hours,best_val_mae,timestamp,metric_source
stgin_metr-la_Acc_SG_LSTM_Q3,STGIN,metr-la,Acc_SG,3,12,True,2.585728406906128,6.630762577056885,7.502781391143799,241921,36,22.64696320692698,0.3774493867821163,2.393263339996338,2025-12-11T13:22:49.973302,test_metrics
stgin_metr-la_Acc_SG_LSTM_Q6,STGIN,metr-la,Acc_SG,6,12,True,3.4976277351379395,8.782800674438477,10.596036911010742,242561,25,17.772688754399617,0.2962114792399936,,,test_metrics
stgin_metr-la_NoAcc_LSTM_Q12,STGIN,metr-la,NoAcc,12,12,False,5.482878684997559,13.044527053833008,18.49099922180176,242113,41,30.42024457454681,0.5070040762424469,,,test_metrics
stgin_metr-la_NoAcc_LSTM_Q3,STGIN,metr-la,NoAcc,3,12,False,3.8159687519073486,8.884597778320312,11.671236038208008,241473,30,18.811847595373788,0.3135307932562298,3.320553779602051,2025-12-11T12:59:53.476288,test_metrics
stgin_metr-la_NoAcc_LSTM_Q6,STGIN,metr-la,NoAcc,6,12,False,4.553337097167969,10.461963653564451,14.278082847595217,242113,50,35.28081692854563,0.5880136154757606,,,test_metrics
stgin_pems-bay_Acc_NoSG_LSTM_Q12,STGIN,pems-bay,Acc_NoSG,12,12,True,2.1908390522003174,4.912899017333984,4.821280002593994,242561,19,40.77078263362249,0.6795130438937081,,,test_metrics
stgin_pems-bay_Acc_NoSG_LSTM_Q3,STGIN,pems-bay,Acc_NoSG,3,12,True,1.0326584577560425,2.313910722732544,2.0069844722747803,242561,32,64.89738152821859,1.08162302547031,,,test_metrics
stgin_pems-bay_Acc_NoSG_LSTM_Q6,STGIN,pems-bay,Acc_NoSG,6,12,True,1.572219729423523,3.5289151668548584,3.2067980766296387,242561,21,43.61282335122426,0.7268803891870711,,,test_metrics
stgin_pems-bay_Acc_SG_LSTM_Q12,STGIN,pems-bay,Acc_SG,12,12,True,1.983291506767273,4.450303077697754,4.083463668823242,242561,19,41.93935391902924,0.6989892319838206,,,test_metrics
stgin_pems-bay_Acc_SG_LSTM_Q3,STGIN,pems-bay,Acc_SG,3,12,True,1.0297954082489014,2.1514811515808105,1.9358432292938232,242561,23,46.98129673004151,0.7830216121673584,,,test_metrics
stgin_pems-bay_Acc_SG_LSTM_Q6,STGIN,pems-bay,Acc_SG,6,12,True,1.4419280290603638,3.1704747676849365,2.8534300327301025,242561,38,79.16694566806157,1.3194490944676929,,,test_metrics
stgin_pems-bay_NoAcc_LSTM_Q12,STGIN,pems-bay,NoAcc,12,12,False,2.21855902671814,4.783577919006348,4.486497402191162,242113,21,45.69951724211375,0.7616586207018958,,,test_metrics
stgin_pems-bay_NoAcc_LSTM_Q3,STGIN,pems-bay,NoAcc,3,12,False,1.357318639755249,2.805800437927246,2.600121021270752,242113,23,46.886279968420666,0.7814379994736778,,,test_metrics
stgin_pems-bay_NoAcc_LSTM_Q6,STGIN,pems-bay,NoAcc,6,12,False,1.6627298593521118,3.607785701751709,3.320857524871826,242113,25,51.88686748345693,0.8647811247242821,,,test_metrics
